Designator,Quantity,Manufacturer,Part #,Description
J1,1,TE Connectivity,4-1734506-2,"19x2 pin receptacle, 2.0mm pitch, through-hole (any equivalent part OK)"
J2,1,Proto Advantage,CN0022,Compact Flash Type II adapter board
